NCBI Accession,Shortcut,Genus
LC710779.1,Avian-CoV,Gammacoronavirus
MZ368698.1,Avian-CoV,Gammacoronavirus
MK071267.1,Avian-CoV,Gammacoronavirus
MG913343.1,Avian-CoV,Gammacoronavirus
MG913342.1,Avian-CoV,Gammacoronavirus
MH021175.1,Avian-CoV,Gammacoronavirus
KY626045.1,Avian-CoV,Gammacoronavirus
KX258195.1,Avian-CoV,Gammacoronavirus
MT984602.1,Avian-CoV,Gammacoronavirus
MT984601.1,Avian-CoV,Gammacoronavirus
MT984600.1,Avian-CoV,Gammacoronavirus
MT984599.1,Avian-CoV,Gammacoronavirus
MT984598.1,Avian-CoV,Gammacoronavirus
MT984597.1,Avian-CoV,Gammacoronavirus
MT984596.1,Avian-CoV,Gammacoronavirus
MT984594.1,Avian-CoV,Gammacoronavirus
MT984593.1,Avian-CoV,Gammacoronavirus
MT984592.1,Avian-CoV,Gammacoronavirus
MT984590.1,Avian-CoV,Gammacoronavirus
MT984589.1,Avian-CoV,Gammacoronavirus
MT984588.1,Avian-CoV,Gammacoronavirus
MT984587.1,Avian-CoV,Gammacoronavirus
MT984586.1,Avian-CoV,Gammacoronavirus
MT984585.1,Avian-CoV,Gammacoronavirus
MT984584.1,Avian-CoV,Gammacoronavirus
MT984583.1,Avian-CoV,Gammacoronavirus
MZ325300.1,Avian-CoV,Gammacoronavirus
MZ325299.1,Avian-CoV,Gammacoronavirus
MZ325298.1,Avian-CoV,Gammacoronavirus
MZ325297.1,Avian-CoV,Gammacoronavirus
MZ325296.1,Avian-CoV,Gammacoronavirus
MN757859.1,Avian-CoV,Gammacoronavirus
MN262644.1,Avian-CoV,Gammacoronavirus
KY933090.1,Avian-CoV,Gammacoronavirus
KY933089.1,Avian-CoV,Gammacoronavirus
MW024789.1,Avian-CoV,Gammacoronavirus
MW222189.1,Avian-CoV,Gammacoronavirus
MN711790.1,Avian-CoV,Gammacoronavirus
MN566147.1,Avian-CoV,Gammacoronavirus
MN599049.1,Avian-CoV,Gammacoronavirus
